,index,Param Pair,Avg Accuracy,Standard Dev,Training Time
1137,1960,"(10, 0.7000000000000001, 0.1)",0.5171799884969271,0.01229094568196638,0.01229094568196638
1138,1018,"(5, 1.7000000000000002, 0.9)",0.5171655771771184,0.006154532482610312,0.006154532482610312
1139,956,"(5, 1.1, 0.7000000000000001)",0.517156803934961,0.012923902984506776,0.012923902984506776
1140,1890,"(10, 0.0, 0.1)",0.5171408144980651,0.009453236825265731,0.009453236825265731
1141,1083,"(6, 0.30000000000000004, 0.4)",0.517139780458579,0.006874884126043984,0.006874884126043984
1142,965,"(5, 1.2000000000000002, 0.6)",0.516978501473958,0.002372552431754026,0.002372552431754026
1143,1990,"(10, 1.0, 0.1)",0.5169545611716331,0.00530781680750999,0.00530781680750999
1144,846,"(5, 0.0, 0.7000000000000001)",0.5168889602743039,0.005181584200544846,0.005181584200544846
1145,946,"(5, 1.0, 0.7000000000000001)",0.516587252506916,0.011724076780665747,0.011724076780665747
1146,986,"(5, 1.4000000000000001, 0.7000000000000001)",0.5165813472336434,0.006028853987794476,0.006028853987794476
1147,948,"(5, 1.0, 0.9)",0.5165414715253356,0.010600790798487152,0.010600790798487152
1148,1561,"(8, 0.9, 0.2)",0.5165252961761029,0.00913781437569189,0.00913781437569189
1149,875,"(5, 0.30000000000000004, 0.6)",0.5165007773857907,0.00836659741831856,0.00836659741831856
1150,2060,"(10, 1.7000000000000002, 0.1)",0.5163480012299835,0.007104858646443413,0.007104858646443413
1151,1035,"(5, 1.9000000000000001, 0.6)",0.5162394717500494,0.003488486225601094,0.003488486225601094
1152,1551,"(8, 0.8, 0.2)",0.5162035648783208,0.011490040314157464,0.011490040314157464
1153,2070,"(10, 1.8, 0.1)",0.5160596442191606,0.008331674288636235,0.008331674288636235
1154,906,"(5, 0.6000000000000001, 0.7000000000000001)",0.5160343006282834,0.008477688409621003,0.008477688409621003
1155,1611,"(8, 1.4000000000000001, 0.2)",0.5159286489063442,0.008766127568019148,0.008766127568019148
1156,1193,"(6, 1.4000000000000001, 0.4)",0.5158423233514122,0.008348749060239672,0.008348749060239672
1157,1143,"(6, 0.9, 0.4)",0.5158242236287168,0.007996006312009689,0.007996006312009689
1158,1203,"(6, 1.5, 0.4)",0.5155427685402977,0.006776858542808417,0.006776858542808417
1159,2050,"(10, 1.6, 0.1)",0.5155134023730568,0.010651353024683551,0.010651353024683551
1160,987,"(5, 1.4000000000000001, 0.8)",0.5155094175767704,0.00418924921386346,0.00418924921386346
1161,966,"(5, 1.2000000000000002, 0.7000000000000001)",0.5154807685512242,0.007805675042536314,0.007805675042536314
1162,1103,"(6, 0.5, 0.4)",0.5154272466173861,0.00806832925577993,0.00806832925577993
1163,917,"(5, 0.7000000000000001, 0.8)",0.5153952987812774,0.007155737034406482,0.007155737034406482
1164,1163,"(6, 1.1, 0.4)",0.5153817729974479,0.008648061182833443,0.008648061182833443
1165,1045,"(5, 2.0, 0.6)",0.5153745638795655,0.003672335016117148,0.003672335016117148
1166,998,"(5, 1.5, 0.9)",0.5153435221154513,0.005900619607600502,0.005900619607600502
1167,1900,"(10, 0.1, 0.1)",0.5153391731166181,0.009300071057892167,0.009300071057892167
1168,1243,"(6, 1.9000000000000001, 0.4)",0.5152904758348011,0.006786720715750695,0.006786720715750695
1169,976,"(5, 1.3, 0.7000000000000001)",0.515248230352519,0.007067213172338496,0.007067213172338496
1170,1173,"(6, 1.2000000000000002, 0.4)",0.5151768687648749,0.007493343769346708,0.007493343769346708
1171,1641,"(8, 1.7000000000000002, 0.2)",0.5150529504957481,0.010955970761932188,0.010955970761932188
1172,2020,"(10, 1.3, 0.1)",0.5149409023065171,0.008219400168699334,0.008219400168699334
1173,1541,"(8, 0.7000000000000001, 0.2)",0.514856308265129,0.007699518897043262,0.007699518897043262
1174,1213,"(6, 1.6, 0.4)",0.514854067807996,0.0054886287773010115,0.0054886287773010115
1175,2090,"(10, 2.0, 0.1)",0.5148460761991986,0.004881549113926289,0.004881549113926289
1176,898,"(5, 0.5, 0.9)",0.5148193998128533,0.0014656734326995904,0.0014656734326995904
1177,1621,"(8, 1.5, 0.2)",0.5148158055356874,0.005338123255666407,0.005338123255666407
1178,1073,"(6, 0.2, 0.4)",0.5147814058308888,0.008953527119145118,0.008953527119145118
1179,1017,"(5, 1.7000000000000002, 0.8)",0.5147387819854897,0.003934145724620745,0.003934145724620745
1180,1980,"(10, 0.9, 0.1)",0.5147234907049262,0.0060115776077208785,0.0060115776077208785
1181,1027,"(5, 1.8, 0.8)",0.5147018751085939,0.004871516361998458,0.004871516361998458
1182,877,"(5, 0.30000000000000004, 0.8)",0.5146739988819142,0.009326773710622127,0.009326773710622127
1183,1940,"(10, 0.5, 0.1)",0.5146426313852432,0.005678008388904759,0.005678008388904759
1184,1233,"(6, 1.8, 0.4)",0.5145205673426052,0.009779751293625098,0.009779751293625098
1185,938,"(5, 0.9, 0.9)",0.5144455900985645,0.01760831742175786,0.01760831742175786
1186,1007,"(5, 1.6, 0.8)",0.514238506447435,0.007285841741360965,0.007285841741360965
1187,2030,"(10, 1.4000000000000001, 0.1)",0.5141932406125602,0.01043574056607643,0.01043574056607643
1188,1053,"(6, 0.0, 0.4)",0.5141822481469819,0.005652116175150152,0.005652116175150152
1189,1910,"(10, 0.2, 0.1)",0.5140878668737912,0.00566859521231799,0.00566859521231799
1190,1471,"(8, 0.0, 0.2)",0.5140251195791533,0.005291277517059448,0.005291277517059448
1191,869,"(5, 0.2, 1.0)",0.5139278208196683,0.010076132988461394,0.010076132988461394
1192,1214,"(6, 1.6, 0.5)",0.5137536811214428,0.011669772372934968,0.011669772372934968
1193,887,"(5, 0.4, 0.8)",0.5137104904330532,0.008080749949164004,0.008080749949164004
1194,1661,"(8, 1.9000000000000001, 0.2)",0.5136928429789719,0.011309104610962096,0.011309104610962096
1195,1063,"(6, 0.1, 0.4)",0.5136659961300725,0.006717074651650424,0.006717074651650424
1196,977,"(5, 1.3, 0.8)",0.5135209783551917,0.008940284429272284,0.008940284429272284
1197,1581,"(8, 1.1, 0.2)",0.5134699692457441,0.008650152910481733,0.008650152910481733
1198,889,"(5, 0.4, 1.0)",0.5132447451863159,0.004425424336554104,0.004425424336554104
1199,1153,"(6, 1.0, 0.4)",0.5131399798344397,0.009014490366059495,0.009014490366059495
1200,1531,"(8, 0.6000000000000001, 0.2)",0.5131022108186741,0.008598121565860425,0.008598121565860425
1201,928,"(5, 0.8, 0.9)",0.5130805752070742,0.005773727959894203,0.005773727959894203
1202,1312,"(7, 0.5, 0.30000000000000004)",0.5130494641754366,0.00588218983433456,0.00588218983433456
1203,1223,"(6, 1.7000000000000002, 0.4)",0.5130297724469586,0.004670198655608736,0.004670198655608736
