,index,Param Pair,Avg Accuracy,Standard Dev,Training Time
134,7,"(1000, 1, 7)",0.7374377437966919,0.004218007103479403,0.004218007103479403
135,145,"(1000, 8, 5)",0.7373365056288153,0.01616284813759411,0.01616284813759411
136,178,"(100, 9, 20)",0.7373106284311474,0.018130013357155163,0.018130013357155163
137,11,"(1000, 1, 11)",0.7371551334764518,0.0010484500019257912,0.0010484500019257912
138,168,"(100, 9, 9)",0.7362918411395424,0.012386739107799439,0.012386739107799439
139,169,"(1000, 9, 9)",0.7355187751830858,0.016991299387349414,0.016991299387349414
140,8,"(100, 1, 9)",0.7351903792503081,0.009900870235839547,0.009900870235839547
141,17,"(1000, 1, 17)",0.7351874965039386,0.010737677296224624,0.010737677296224624
142,144,"(100, 8, 5)",0.7347739926830004,0.01552818723168054,0.01552818723168054
143,23,"(1000, 2, 3)",0.732416388699587,0.03644844437603426,0.03644844437603426
144,5,"(1000, 1, 5)",0.7315830390280496,0.014538151639146773,0.014538151639146773
145,16,"(100, 1, 17)",0.7308873504565121,0.010974815985722435,0.010974815985722435
146,122,"(100, 7, 3)",0.7277488656331954,0.01990949712657046,0.01990949712657046
147,123,"(1000, 7, 3)",0.7275373558560952,0.022403410115160394,0.022403410115160394
148,166,"(100, 9, 7)",0.7274237360272436,0.02226152216326725,0.02226152216326725
149,167,"(1000, 9, 7)",0.7273446583586918,0.019593393537557097,0.019593393537557097
150,199,"(1000, 10, 20)",0.725586178428889,0.024827919213929288,0.024827919213929288
151,19,"(1000, 1, 20)",0.7237996019689671,0.009096425916898255,0.009096425916898255
152,198,"(100, 10, 20)",0.7233622286845174,0.021864422975777432,0.021864422975777432
153,192,"(100, 10, 13)",0.7217927125606072,0.018993105197945163,0.018993105197945163
154,197,"(1000, 10, 17)",0.720186380060724,0.02113910749336106,0.02113910749336106
155,18,"(100, 1, 20)",0.7200423509137165,0.004089982793273219,0.004089982793273219
156,196,"(100, 10, 17)",0.7199686218618677,0.025360895570556263,0.025360895570556263
157,194,"(100, 10, 15)",0.7199491969900786,0.018804068568408414,0.018804068568408414
158,195,"(1000, 10, 15)",0.7198311114880747,0.017355075866377665,0.017355075866377665
159,193,"(1000, 10, 13)",0.7193610703996172,0.021728000227364194,0.021728000227364194
160,22,"(100, 2, 3)",0.7171024550707346,0.04601608368188592,0.04601608368188592
161,3,"(1000, 1, 3)",0.7146573439487028,0.04748131231318516,0.04748131231318516
162,191,"(1000, 10, 11)",0.714537618130097,0.019066125662624514,0.019066125662624514
163,190,"(100, 10, 11)",0.7126595450094056,0.013980001184455571,0.013980001184455571
164,188,"(100, 10, 9)",0.7096409597588254,0.02492879364280455,0.02492879364280455
165,61,"(1000, 4, 1)",0.7070433055791769,0.04852233196488061,0.04852233196488061
166,189,"(1000, 10, 9)",0.7064050053787032,0.020430909773133263,0.020430909773133263
167,81,"(1000, 5, 1)",0.7036706972160731,0.04469012182586161,0.04469012182586161
168,41,"(1000, 3, 1)",0.7026451172938195,0.05054895185421529,0.05054895185421529
169,4,"(100, 1, 5)",0.7025567326623664,0.0607991996666033,0.0607991996666033
170,165,"(1000, 9, 5)",0.7014799241306342,0.02599655877524551,0.02599655877524551
171,164,"(100, 9, 5)",0.7001944902606515,0.021989498581845852,0.021989498581845852
172,20,"(100, 2, 1)",0.696033773679166,0.022980745134510178,0.022980745134510178
173,60,"(100, 4, 1)",0.6956230568477645,0.0408843918744641,0.0408843918744641
174,142,"(100, 8, 3)",0.6954785595024087,0.026641788391533548,0.026641788391533548
175,143,"(1000, 8, 3)",0.6953136599691978,0.02497211948483591,0.02497211948483591
176,80,"(100, 5, 1)",0.6950850641103499,0.037867385618042676,0.037867385618042676
177,101,"(1000, 6, 1)",0.693871523248046,0.039838438389601424,0.039838438389601424
178,186,"(100, 10, 7)",0.6932970847413575,0.023643408155573878,0.023643408155573878
179,21,"(1000, 2, 1)",0.6930748713278404,0.04967967520033665,0.04967967520033665
180,187,"(1000, 10, 7)",0.6909132544949785,0.02398932007426262,0.02398932007426262
181,2,"(100, 1, 3)",0.6893375555228058,0.05499499213156328,0.05499499213156328
182,40,"(100, 3, 1)",0.6818406866348129,0.0432763174207722,0.0432763174207722
183,100,"(100, 6, 1)",0.6807558941000529,0.033159651649310784,0.033159651649310784
184,1,"(1000, 1, 1)",0.678917999908675,0.04508727881763098,0.04508727881763098
185,162,"(100, 9, 3)",0.6767080357291274,0.016677724169607427,0.016677724169607427
186,184,"(100, 10, 5)",0.6669367424014456,0.02482984951626208,0.02482984951626208
187,163,"(1000, 9, 3)",0.6649709953107287,0.029575972591195304,0.029575972591195304
188,185,"(1000, 10, 5)",0.6637734531968474,0.02889526572524292,0.02889526572524292
189,0,"(100, 1, 1)",0.6632098322017599,0.055482111460817524,0.055482111460817524
190,121,"(1000, 7, 1)",0.6615772621235132,0.037552824070808705,0.037552824070808705
191,120,"(100, 7, 1)",0.6614079638513795,0.03305844211291801,0.03305844211291801
192,141,"(1000, 8, 1)",0.6233578203164761,0.02969151675235773,0.02969151675235773
193,140,"(100, 8, 1)",0.6183147465024049,0.03130575745885458,0.03130575745885458
194,183,"(1000, 10, 3)",0.6177325272567793,0.022068328151785502,0.022068328151785502
195,182,"(100, 10, 3)",0.613722785695726,0.017595534910060513,0.017595534910060513
196,160,"(100, 9, 1)",0.5799931141556539,0.02947283347168227,0.02947283347168227
197,161,"(1000, 9, 1)",0.5724952089325817,0.02126552888502604,0.02126552888502604
198,181,"(1000, 10, 1)",0.5321383439768507,0.020731523163431187,0.020731523163431187
199,180,"(100, 10, 1)",0.5310289512299765,0.017491781943994412,0.017491781943994412
